date,precip
05/16/2018,13.134
05/17/2018,10.288
05/18/2018,13.572
05/19/2018,4.253
05/20/2018,28.387
05/21/2018,8.604
05/22/2018,19.838
05/23/2018,20.144
05/24/2018,23.229
05/25/2018,11.871
05/26/2018,4.194
05/27/2018,6.011
05/28/2018,3.517
05/29/2018,0.554
05/30/2018,0.283
05/31/2018,1.033
06/01/2018,2.296
06/02/2018,5.251
06/03/2018,3.108
06/04/2018,3.338
06/05/2018,1.056
06/06/2018,4.519
06/07/2018,6.207
06/08/2018,1.843
06/09/2018,3.364
06/10/2018,1.791
06/11/2018,0.729
06/12/2018,0.465